Uuid,Void/Retire,Name,Description,Parent,Tags,Tag,Attribute|8a845a89-6aa5-4111-81d3-0af31c45c002,Address 1,Address 2,Address 3,Address 4,Address 5,Address 6,City/Village,County/District,State/Province,Postal Code,Country,_order:1000,Tag|Admission Location,Tag|Transfer Location,Tag|Maternity Ward,Tag|Queue Location
25e86be8-fbe4-4dac-80e6-e925776982f6,,Kimilili Sasa Wellness Centre,Medical Clinic,,,,30550,,,,,Kimilili,Kimilili,,Bungoma,Bungoma,,Kenya,,,,,
4af9a78a-7400-46f9-b47c-f43ba8a5e2fc,,GK Prison Health Centre Rachuonyo North,Medical Clinic,,,,30176,,,,,North Karachuonyo,North Karachuonyo,,Homa Bay,Homa Bay,,Kenya,,,,,
be57e2d6-b42c-4fbc-883f-3b63d781d3c4,,CGTRH Mtongwe Outreach Centre,Medical Clinic,,,,28689,,,,,Mtongwe,Likoni,,Mombasa,Mombasa,,Kenya,,,,,
67e733b5-1741-4d24-a1ad-229f36fee86b,,Kirinyaga Treatment Centre Annex,Medical Clinic,,,,32224,,,,,Mutithi,Mutithi,,Kirinyaga,Kirinyaga,,Kenya,,,,,
801b33cc-029f-4a88-8bf7-c659d416d55e,,Hope Matters International DICE Bomet,Medical Clinic,,,,32442,,,,,Silibwet Township,Bomet Central,,Bomet,Bomet,,Kenya,,,,,
059fcee8-e61e-4949-a60e-de3911177c13,,Miritini Treatment and Rehabilitation Centre,Medical Clinic,,,,29098,,,,,Miritini,Jomvu,,Mombasa,Mombasa,,Kenya,,,,,
15217fa2-5aea-47c5-92d1-c9448dec9878,,Kisauni MAT Clinic,Medical Clinic,,,,28293,,,,,Frere Town,Nyali,,Mombasa,Mombasa,,Kenya,,,,,
20f01073-4be4-4281-9dd4-579ee0888b0b,,Metkei Community Dispensary,Medical Clinic,,,,28815,,,,,Metkei,Keiyo South ,,Elgeyo Marakwet,Elgeyo Marakwet,,Kenya,,,,,
62bdc766-ea02-40d1-b89d-5900021ff6ef,,CHIEKO MEDICAL CENTRE,Medical Clinic,,,,32018,,,,,Kasarani,Mwiki,,Nairobi,Nairobi,,Kenya,,,,,
6f0a3c32-c887-4742-8bd8-1d75f35d0595,,Health Option For Young Men,Medical Clinic,,,,29482,,,,,Kajiado North,Ongata Rongai,,Kajiado,Kajiado,,Kenya,,,,,
822597b9-b1ac-4e4c-ad54-806f32509dc6,,Ca Medlynks Kenya Limited,Medical Clinic,,,,30476,,,,,Woodley,Kibra,,Nairobi,Nairobi,,Kenya,,,,,
f6aae06a-69b1-46ca-a507-62f35cc4d4a2,,Bomu Hospital Bombolulu Medical Centre,Medical Clinic,,,,33426,,,,,Bombolulu,Nyali,,Mombasa,Mombasa,,Kenya,,,,,
d35f8a2b-a70f-48e9-bf95-4ef9d59e03f4,,Ginger Hospital,Medical Clinic,,,,30621,,,,,Mackinon Road,Samburu,,Kwale,Kwale,,Kenya,,,,,
